1625756337076, 2-4, 2, 4, 4, 8, 1, 81, 0, 2, 0, 13, 304, 419, 62009640;
1625756337377, 2-6, 2, 6, 4, 8, 1, 163, 0, 0, 0, 0, 505, 689, 116261048;
1625756337600, 2-4, 2, 4, 4, 8, 2, 255, 9, 0, 18, 0, 208, 523, 164727840;
1625756337694, 2-8, 2, 8, 4, 8, 1, 202, 0, 0, 0, 0, 746, 977, 192706520;
1625756338247, 2-4, 2, 4, 4, 6, 3, 218, 47, 0, 76, 0, 237, 647, 296653616;
1625756338403, 2-6, 2, 6, 4, 8, 2, 490, 15, 0, 35, 0, 440, 1025, 311593256;
1625756339414, 2-4, 2, 4, 4, 7, 4, 308, 60, 1, 285, 0, 353, 1167, 491059760;
1625756339419, 2-8, 2, 8, 4, 8, 2, 799, 12, 0, 22, 0, 853, 1725, 512951048;
1625756339870, 2-6, 2, 6, 4, 8, 3, 623, 41, 1, 79, 0, 642, 1467, 532739680;
1625756340915, 2-4, 2, 4, 4, 7, 5, 278, 102, 0, 702, 0, 293, 1500, 818833504;
1625756341293, 2-6, 2, 6, 4, 8, 4, 642, 63, 0, 152, 0, 449, 1423, 807155104;
