id,concepts,relations,elements,role,scene,encoding&recognition [ms],learning&structuring [ms]
1625760868375,8,6,4,6,9,3921,2522
1625760871072,6,2,4,6,14,1699,13463
1625760872482,6,4,4,6,12,2175,10229
1625760873984,6,6,4,8,11,3119,5461
1625760875004,2,2,4,6,12,307,20234
1625760876401,6,8,4,8,9,4317,3318
1625760877871,8,8,4,7,8,4720,1323
1625760878076,4,6,4,8,12,2733,9450
1625760878756,8,6,4,7,10,3426,3252
1625760881871,4,8,4,7,11,2876,7552
1625760881901,2,6,4,9,13,1822,16879
1625760883876,4,4,4,7,13,2575,15004
1625760884672,2,4,4,8,13,559,22712
1625760885314,2,8,4,9,12,3010,15400
1625760885674,4,2,4,6,14,1800,21224
1625760887627,6,4,4,7,13,1198,12331
1625760888247,6,2,4,6,15,803,15561
1625760889084,6,6,4,9,12,3541,8067
1625760889248,8,8,4,8,9,4740,1776
1625760889958,6,8,4,7,10,4126,4924
1625760890253,8,6,4,8,11,3766,4150
1625760895394,4,6,4,7,13,2064,12892
1625760899412,4,8,4,7,12,3277,10307
1625760900983,8,8,4,8,10,4733,2045
1625760903315,8,6,4,8,12,3707,5673
1625760903786,6,8,4,7,11,3693,6564
1625760904491,4,4,4,7,14,1235,17960
1625760905285,2,2,4,6,13,1334,27446
1625760905552,6,6,4,8,13,2637,11137
1625760905752,6,4,4,8,14,1757,15145
1625760909415,2,6,4,7,14,2449,22685
1625760910842,2,8,4,8,13,2404,19957
1625760912525,8,8,4,7,11,4293,2625
1625760913169,6,2,4,6,16,2451,19367
1625760918531,8,6,4,7,13,3201,8081
1625760918776,2,4,4,9,14,352,30356
1625760919050,4,6,4,7,14,3115,17273
1625760920067,6,8,4,8,12,3303,9077
1625760920394,4,2,4,6,15,1900,30453
1625760921246,4,8,4,8,13,3517,14427
1625760924953,6,6,4,7,14,2356,14828
1625760927442,8,8,4,6,12,4788,5488
1625760933283,6,4,4,7,15,2956,21341
1625760936127,8,6,4,7,14,3599,10795
1625760937901,4,4,4,8,15,2598,27519
1625760939442,6,2,4,6,17,1119,24077
1625760941152,6,8,4,8,13,4590,11652
1625760941718,2,6,4,9,15,1282,29762
1625760942474,2,2,4,6,14,1474,34157
1625760945753,2,8,4,7,14,2920,28839
1625760946599,8,8,4,9,13,5234,8604
1625760948965,4,6,4,9,15,3942,21771
1625760949330,4,8,4,7,14,4150,19004
1625760952462,6,6,4,9,15,4615,18081
1625760956348,8,6,4,8,15,2913,13836
1625760963874,2,4,4,6,15,1034,40069
1625760964455,6,8,4,7,14,3554,16126
1625760966017,4,2,4,6,16,1765,40469
1625760968441,6,4,4,8,16,3346,27784
1625760968791,8,8,4,8,14,5222,12097
1625760979199,6,2,4,6,18,2101,33015
1625760980964,4,4,4,8,16,2879,36942
1625760981381,4,6,4,8,16,2124,28569
1625760982835,8,6,4,8,16,4666,17400
1625760984731,4,8,4,7,15,5138,24934
1625760985588,6,6,4,8,16,4217,24168
1625760988078,2,6,4,7,16,2802,39898
1625760990700,6,8,4,7,15,3473,19276
1625760991633,8,8,4,7,15,4010,14977
1625760992369,2,8,4,7,15,3035,40023
1625760994569,2,2,4,6,15,1849,48035
1625761012006,8,6,4,9,17,3604,22434
1625761013558,6,4,4,7,17,3907,36526
1625761020864,8,8,4,7,16,4789,18972
1625761024069,4,8,4,7,16,3069,33054
1625761024185,2,4,4,7,16,2478,54913
1625761025092,6,6,4,6,17,3301,33002
1625761025611,4,6,4,9,17,3549,36824
1625761028167,4,2,4,6,17,3292,55386
1625761028747,6,2,4,6,19,3911,41350
1625761029664,6,8,4,9,16,5613,26926
1625761039017,4,4,4,9,17,4060,49538
1625761045092,8,6,4,7,18,3025,27006
1625761052117,2,6,4,7,17,3800,55599
1625761053168,8,8,4,8,17,4371,23256
1625761055921,2,8,4,8,16,2045,55110
1625761064610,2,2,4,6,16,638,64755
1625761069617,6,4,4,7,18,4991,45682
1625761073619,4,8,4,7,17,3894,41633
1625761075747,4,6,4,7,18,2456,44989
1625761079720,6,6,4,7,18,5160,42986
1625761079936,6,8,4,8,17,6353,36239
1625761080849,6,2,4,6,20,1195,49395
1625761089667,8,6,4,8,19,5435,33558
1625761100050,8,8,4,8,18,7505,31279
1625761103067,4,4,4,8,18,1422,61151
1625761106695,4,2,4,6,18,3243,71209
1625761107863,2,4,4,8,17,2842,77014
1625761125998,6,4,4,8,19,1092,53762
1625761134222,2,6,4,7,18,4797,71784
1625761135478,6,6,4,7,19,2528,50507
1625761138910,8,6,4,8,20,4354,39624
1625761140810,2,8,4,8,17,4410,75116
1625761140859,6,8,4,8,18,7427,45054
1625761145169,4,8,4,7,18,7233,55622
1625761145868,4,6,4,8,19,6240,57460
