scene idx, Pre-Recognition, Learning, Posto-Recognition, Pre-Recognition, Learning, Posto-Recognition, Pre-Recognition, Learning, Post-Recognition [all in milliseconds]

    (types:2-relations:2) -> 5 Elements
1	90	13	164		74	7	250		49	2	172
2	125	53	139		284	56	200		201	19	156
3	116	140	122		167	80	185		152	79	203
4	149	426	128		169	333	315		248	217	195
5	137	673	169		195	586	218		192	770	230
6	161	2709	842		238	1970	583		216	1774	253
7	367	6224	584		491	4288	517		160	2336	180
8	916	16843	1230		412	7083	1225		343	4062	434
9	728	16502	775		873	11627	646		406	6814	606
10	915	17524	979		820	12772	843		656	11484	750
11	999	25263	1183		205	16622	267		781	17380	1193
12	1363	37276	1574		1293	29111	1324		1217	25095	1542
13	1840	49836	1773		1331	36186	1967		1368	40101	2211
14	1829	78790	2324		361	56515	512		281	46639	264
15	2754	114158	3890		3572	75524	3651		2042	71857	3127
16	4642	119180	4172		3203	108887	3505		3132	105097	3089
17	4008	173529	5232		3194	132020	4581		3991	166080	5413
18	5176	245201	8616		5102	161143	6547		5663	182649	5392

    (types:2-relations:2) -> 11 Elements							
1	146	3	838		173	22	419		157	3	551
2	608	71	573		374	18	358		568	22	605
3	585	193	708		372	126	422		507	91	611
4	607	428	617		388	305	451		624	242	827
5	637	1146	640		412	735	439		616	754	756
6	836	2774	763		495	1514	574		700	2221	875
7	705	5006	875		530	2307	924		1204	5116	866
8	970	7563	1087		866	4868	812		1046	8718	1057
9	1068	15978	1372		1066	7630	1057		1294	15300	1381
10	1305	21204	1916		1104	17272	1414		1426	19002	1692
11	1706	31125	1877		1537	35703	2803		1647	28417	1941
12	1887	43362	2195		2185	38247	2632		2404	40296	2358
13	2170	61454	2673		3038	55473	2887		2472	63958	3524
14	2878	81231	4206		3823	79200	3437		3571	92071	4131
15	3797	121105	4303		3881	103388	4892		4075	114685	5638
16	4683	164450	6332		5309	140633	5879		5158	152140	5674
17	6211	251025	6106		5961	193904	8146		6532	201229	8746
18	7545	312096	8491		7983	278116	9664		8086	277979	8769

    (types:2-relations:2) -> 17 Elements
1	265	2	1116		301	3	1564		322	3	1420
2	1396	45	1054		1166	99	1137		1111	64	1487
3	1054	324	2054		1337	420	1256		1273	439	1175
4	1330	862	1564		1198	920	1448		1343	980	1514
5	1224	2697	1555		1566	2012	1765		1254	1835	1269
6	1326	4762	1551		1727	3883	1477		1464	3191	1592
7	1562	7819	1617		1439	7398	1613		1421	6590	1765
8	1500	10767	1957		2121	10572	2201		1757	10186	1930
9	1867	16262	2295		2017	15906	2271		1846	14652	2068
10	2596	21896	2495		2579	23859	2452		2386	21086	2665
11	2736	31569	2827		2617	33054	3095		3127	33392	2726
12	2882	44885	4017		3070	46034	3318		3315	47671	3683
13	3752	56410	4556		3362	67854	4075		3966	68467	3753
14	5136	82338	5577		4267	83055	4989		4628	86209	4625
15	6343	118957	6983		4838	118030	6560		5211	122708	6447
16	7384	155362	7467		6552	159405	8295		6822	162248	7643
17	8294	225651	9072		7440	213594	10277		7916	228278	8752
18	9067	280963	11777		11794	275643	12287		10170	290656	11213

    (types:2-relations:2) -> 30 Elements
1	678	3	3695		581	4	2762		625	5	3005
2	3920	60	4194		2780	25	2921		3284	19	3135
3	3465	184	4042		3049	201	3092		3170	153	3008
4	3978	541	3516		3057	416	2979		3055	388	3154
5	3576	1655	3982		2795	1117	2869		3178	1345	3333
6	3799	3344	4072		2996	2226	3045		3263	2602	3384
7	5110	7209	4386		3232	4175	3501		3528	5027	3373
8	4823	11068	4434		3580	6118	3792		3270	7934	3649
9	4413	14370	5069		4209	11252	3742		3967	11922	4132
10	4929	24052	4934		3933	18569	4658		4190	17666	4375
11	5264	33743	4843		4988	29425	4891		4487	25486	4290
12	5291	41233	5940		5490	38464	5226		4497	36175	5158
13	5965	56624	6411		5709	63103	6493		5311	53358	6019
14	6522	76158	7707		6148	78905	7172		6928	75844	6657
15	8247	105820	9249		7388	111711	9014		6371	98295	7783
16	8110	144392	10346		9312	143196	9064		8187	147202	9154
17	12124	187090	12721		9459	196024	12149		9379	176629	11393
18	14255	257365	13596		13859	252202	13436		11072	232661	11769

######################################################################################################
    (types:2-relations:4) -> 5 Elements
1	237	29	735		166	5	504		107	2	398
2	548	41	499		504	126	880		397	26	428
3	610	210	690		473	197	760		381	88	403
4	640	745	961		590	829	619		458	454	575
5	796	1121	1044		1056	1461	675		475	719	506
6	785	2007	660		578	1812	481		506	1408	646
7	757	4306	904		806	3316	874		626	2646	798
8	835	5492	1309		959	5392	1127		912	4709	863
9	1118	8310	1280		1333	11252	1331		980	10804	1700
10	1214	13904	1526		1168	13968	1486		2080	12083	1306
11	1321	22134	1695		1439	21076	1953		1436	24658	2725
12	1826	32099	2081		1967	32880	2403		2513	34708	2342
13	2306	42457	2571		2680	43475	3657		2839	46931	4454
14	2365	66431	3131		3005	69680	5141		4651	77648	3515
15	3036	86920	3793		4526	105019	4573		5379	121122	6130
16	4204	129594	5133		4490	118176	6218		7398	149417	6327
17	5291	173249	7097		5214	181734	6710		6446	202085	7067
18	7358	235560	11645		9988	231644	8545		7322	278395	12311

    (types:2-relations:4) -> 11 Elements							
1	234	7	1329		259	5	1574		291	5	1546
2	1238	37	1403		1431	35	1711		1644	27	1603
3	1279	158	1429		1413	98	1458		1502	126	1726
4	1362	414	1795		1503	263	1531		1392	332	1707
5	1697	1076	1595		1735	763	1675		1559	1214	1798
6	1564	1935	1675		1715	1379	1775		1582	2888	1821
7	1609	4048	2014		1822	3430	2000		1830	5244	2139
8	1890	7134	2009		2186	5973	2367		2166	9307	2485
9	2094	10865	2457		2147	10342	2564		2426	14895	2819
10	2431	17078	2559		2556	14381	2773		3025	21426	3368
11	2726	28058	3153		2760	22722	3362		3150	29665	3578
12	3534	38278	4705		3577	42248	3810		3734	40349	3941
13	4536	65822	5079		4187	57172	4947		4725	60127	5039
14	5249	74582	6471		4728	81539	5106		5042	87877	5715
15	6420	113387	8286		5043	102576	6715		5553	112284	5871
16	8133	141512	8877		7268	145547	8385		7370	155093	8835
17	9577	237456	9241		9499	199602	12174		9202	211475	9230
18	10981	297851	14254		12478	273436	13019		9570	270932	11675

    (types:2-relations:4) -> 17 Elements
1	463	5	3142		333	3	2273		347	4	2397
2	3086	25	3218		2276	20	3309		2378	19	2393
3	3277	98	3163		2801	79	2749		2445	108	2486
4	3182	279	3242		2804	223	2845		2386	281	2529
5	3491	992	3534		2759	710	2795		2540	762	2733
6	3637	1777	3678		2812	1533	2916		2548	2352	2883
7	3602	4439	3928		2761	3205	3110		2781	3840	2980
8	3766	7955	4464		3110	6006	3269		2978	7719	3242
9	4390	11074	4635		3201	9468	3439		3079	11310	3370
10	4433	18119	4916		3448	16752	3917		3418	19251	3801
11	4937	29164	5645		3999	24900	4378		3781	25269	4753
12	6271	50585	7134		4265	33857	5332		4778	46465	5161
13	6769	65538	7473		4819	50748	5376		5159	58990	5798
14	7420	85452	9534		5343	64701	6845		5855	81445	6847
15	10428	130632	9903		7233	95633	7447		6856	112815	7704
16	11963	169830	11609		7969	121331	8814		7482	147179	8704
17	12273	194886	11468		9024	169569	10022		11084	205940	11233
18	11499	233963	12986		11277	239457	12406		11213	265073	14223

    (types:2-relations:4) -> 30 Elements
1	958	4	7889		870	4	7473		897	5	7394
2	8175	30	8018		7302	30	7345		7418	35	7327
3	8057	147	7940		7213	93	7630		7218	117	7485
4	7783	520	7938		8174	322	8486		7461	354	7677
5	7744	1045	7998		8394	779	8411		7544	928	7680
6	8033	2126	8108		8383	1929	8673		7726	2103	8624
7	8065	3712	8304		8678	3617	9048		9027	3604	9145
8	8193	6715	8611		8795	7294	8864		8997	6134	9181
9	8669	11558	9110		9010	13564	9475		9254	10172	9515
10	8949	19060	9486		9284	23173	9790		9508	18228	9929
11	9424	25390	10298		9771	30718	10404		9941	25890	10698
12	10294	40293	11007		10786	43482	11430		10627	38145	11335
13	10953	55519	11751		11375	59771	12277		11168	55973	11995
14	12001	98227	13905		12270	86758	13592		12262	71897	13598
15	13532	108051	15660		14839	126421	15124		14081	106867	15715
16	17258	160664	16514		15686	160713	17357		16176	133709	17812
17	19756	196016	19075		16694	204199	19927		17525	185044	20813
18	18849	263537	22960		20553	267242	22095		20656	256374	22775

######################################################################################################
    (types:2-relations:6) -> 5 Elements
1	251	4	1001		138	2	762		115	2	601
2	1151	39	1227		719	22	741		584	19	573
3	1122	131	974		786	94	758		604	70	711
4	781	382	832		1025	296	916		645	204	648
5	842	884	952		835	699	863		623	628	747
6	981	1698	1764		974	2150	1438		719	1126	789
7	2225	3796	1515		1253	3416	1379		757	2189	1040
8	1478	5779	1501		1264	8609	1485		974	3570	1157
