1625756824836, 2-4, 2, 4, 4, 8, 1, 94, 0, 1, 0, 0, 253, 373, 61619368;
1625756825010, 2-6, 2, 6, 4, 8, 1, 147, 0, 0, 0, 0, 443, 622, 115473104;
1625756825315, 2-4, 2, 4, 4, 8, 2, 212, 8, 1, 12, 0, 218, 479, 159929648;
1625756825439, 2-8, 2, 8, 4, 8, 1, 200, 0, 1, 0, 0, 871, 1112, 193969616;
1625756825909, 2-4, 2, 4, 4, 8, 3, 210, 14, 1, 71, 0, 249, 594, 272154584;
1625756826131, 2-6, 2, 6, 4, 8, 2, 456, 14, 1, 21, 0, 583, 1121, 316192432;
1625756826851, 2-4, 2, 4, 4, 8, 4, 298, 66, 0, 187, 0, 245, 942, 430841048;
1625756827394, 2-8, 2, 8, 4, 7, 2, 808, 28, 0, 46, 51, 1002, 1955, 523615776;
1625756827526, 2-6, 2, 6, 4, 8, 3, 580, 36, 1, 101, 0, 611, 1394, 545077360;
1625756828323, 2-4, 2, 4, 4, 7, 5, 213, 117, 0, 685, 0, 296, 1472, 676062392;
